month;day;;IT;ES;EN;DE
3;10;s;;;;
3;11;s;;El rey Constantino de Cornwall cambió de vida y cedió el trono a su hijo. De anciano, fue atacado por los piratas, cuando se dirigía a Kintyre en Escocia y le cortaron un brazo. Todavía tuvo tiempo de bendecir a sus acompañantes antes de morir.;;
3;12;s;;Las heroicas virtudes de San Gregorio Magno inspiraron al Papa Pelagio II la idea de sacarlo del monasterio para hacerlo cardenal. Ocultose a fin de evitar esta dignidad. pero una columna de fuego reveló el lugar de su retiro y puso en evidencia la voluntad de Dios a su respecto.;;
3;13;s;;;;
3;14;s;;;;
3;15;s;;;;
3;16;s;;;;
3;17;s;Apostolo del Vangelo fra il popolo irlandese, nacque nella Scozia da agiati e pii genitori verso la fine del secolo quinto. Fu vescovo e confessore, e per primo annunziò Cristo in Irlanda Rifulse per grandissimi miracoli e per virtù.;;;
3;18;s;;;;
3;19;s;;;;
3;20;s;;;;
3;21;s;;;;
3;22;s;;;;
3;23;s;;;;
3;24;s;;;;
3;25;s;;;;
3;26;s;;;;
3;27;s;;;;
3;28;s;;;;
3;29;s;;;;
3;30;s;;"Asceta y monje, formado en el monasterio del Monte Sinaí, vive principalmente como un ermitaño, pero sin descuidar al prójimo. Como abad de la comunidad monástica de origen, escribe grandes obras doctrinales, la más conocida ""La Escala del Paraíso"". ";;
3;31;s;;matrona romana, fundadora de la Iglesia homónima. Hija del tribuno romano Quirino, fue bautizada, cuenta la tradición, por el Papa Alejando I junto con su padre convertido al cristianismo. Arrestada con su padre por orden del emperador Adrián, fue decapitada después de largas torturas;;
4;1;s;;;;
4;2;s;;eremita, fundador de la Orden de los Mínimos. Patrono de Calabria y de la gente del mar, venerado como taumaturgo y protector de los pobres, que, en el Reino de Nápoles regentado por los angevinos, sufrían grave abandono y abusos.;;
4;3;s;;;;
4;4;s;;obispo de Sevilla y doctor de la Iglesia. Nació en Cartagena, España el año 556. La Santa Sede lo declaró Doctor de la Iglesia, en 1722.;;
4;5;s;;presbítero de la Orden de Predicadores, que, de origen español, recorrió incansablemente ciudades y caminos de Occidente, solícito por la paz y la unidad de la Iglesia, predicando a pueblos innumerables el Evangelio de la penitencia y la venida del Señor, hasta que en Vannes, de la Bretaña Menor, en Francia, entregó su espíritu a Dios.;;
4;6;s;;En Roma, hija del cónsul Símaco, ella, al fallecer su cónyuge, vivió cerca de la iglesia de San Pedro durante muchos años, entregada a la oración, limosnas, ayunos y otras obras santas, y cuyo felicísimo tránsito fue descrito por el papa san Gregorio Magno;;
4;7;s;;;;
4;8;s;;;;
4;9;s;;;;
4;10;s;;;;
4;11;s;;;;
4;12;s;;;;
4;13;s;;;;
4;14;s;;;;
4;15;s;;;;
4;16;s;;;;
4;17;s;;;;
4;18;s;;;;
4;19;s;;;;
4;20;s;;;;
4;21;s;;;;
4;22;s;;;;
4;23;s;;;;
4;24;s;;;;
4;25;s;;;;
4;26;s;;;;
4;27;s;;;;
4;28;s;;;;
4;29;s;;;;
4;30;s;;;;
5;1;s;;;;
5;2;s;;;;
5;3;s;;;;
5;4;s;;;;
5;5;s;;;;
5;6;s;;;;
5;7;s;;;;
5;8;s;;;;
5;9;s;;;;
5;10;s;;;;
5;11;s;;;;
5;12;s;;;;
5;13;s;;;;
5;14;s;;;;
5;15;s;;;;
5;16;s;;;;
5;17;s;;;;
5;18;s;;;;
5;19;s;;;;
5;20;s;;;;
5;21;s;;;;
5;22;s;;;;
5;23;s;;;;
5;24;s;;;;
5;25;s;;;;
5;26;s;;;;
5;27;s;;;;
5;28;s;A Londra in Inghilterra, beata Margherita Pole, madre di famiglia e martire, che, contessa di Salisbury e madre del cardinale Reginaldo, fu decapitata nel carcere della Torre sotto il re Enrico VIII, del quale aveva disapprovato il divorzio, trovando così riposo nella pace di Cristo.;;In London in England, blessed Margaret pole, family mother and martyr who, as countess of Salisbury e mother of cardinal Reginaldo, was beheaded in the prison of the tower under the king Henry the eight, of whom she disapproved the divorce, finding finally peace in Chrisaint;In London, England, wurde die selige Margarete Pole – Familien Mutter und Märtyrerin, als Gräfin von Salisbury und Mutter des Kardinals Reginaldo, im Gefängnis des Turmes unter König Henry dem achten geköpft, und fand so endlich Frieden bei Christus.
5;29;s;;;"Maximinus was an ardent enemy of the Arian heretics, opposing them in the councils of Milan, Sardica, and Cologne. He was a known miracle worker and apologist for orthodox Catholicism and was called ""one of the most courageous bishops of his time"" by saint Jerome.";Maximin war ein leidenschaftlicher Feind des Arianismus und stellte sich ihnen im Konzil von Mailand, Sardica und Köln entgegen. Er war als Wundertäter und Apologet des orthodoxen Katholizismus bekannt und wurde von heiligen Jerome als „einer der mutigsten Bischöfe seiner Zeit“ bezeichnet.
5;30;s;;;She was born in 1412 in Domrémy, Bar, France. A national heroine of France, at age 18 she led the French army to victory over the English at Orléans. Captured a year later, Joan was burned at the stake as a heretic by the English;Sie wurde 1412 in Domrémy, Bar, Frankreich geboren. Als eine nationale Heldin von Frankreich, führte sie mit achtzehn Jahren die französische Armee zum Sieg über England in Orléans. Ein Jahr später wurde sie als Ketzerin auf dem Scheiterhaufen durch die Engländer verbrannt.
5;31;s;;;;
6;1;s;;;;
6;2;s;;;;
6;3;s;;;;
6;4;s;;;;
6;5;s;;;;
6;6;s;;;;
6;7;s;;;;
6;8;s;;;;
6;9;s;;;;
6;10;s;;;;
6;11;s;;;;
6;12;s;;;;
6;13;s;;;;
6;14;s;;;;
6;15;s;;;;
6;16;s;;;;
6;17;s;;;;
6;18;s;;;;
6;19;s;;;;
6;20;s;;;;
6;21;s;;;;
6;22;s;;;;
6;23;s;;;;
6;24;s;;;;
6;25;s;;;;
6;26;s;;;;
6;27;s;;;;
6;28;s;;;;
6;29;s;;;;
6;30;s;;;;
7;1;s;;;;
7;2;s;;;;
7;3;s;;;;
7;4;s;;;;
7;5;s;;;;
7;6;s;;;;
7;7;s;;;;
7;8;s;;;;
7;9;s;;;;
7;10;s;;;;
7;11;s;;;;
7;12;s;;;;
7;13;s;;;;
7;14;s;;;;
7;15;s;;;;
7;16;s;;;;
7;17;s;;;;
7;18;s;;;;
7;19;s;;;;
7;20;s;;;;
7;21;s;;;;
7;22;s;;;;
7;23;s;;;;
7;24;s;;;;
7;25;s;;;;
7;26;s;;;;
7;27;s;;;;
7;28;s;;;;
7;29;s;;;;
7;30;s;;;;
7;31;s;;;;
8;1;s;;;;
8;2;s;;;;
8;3;s;;;;
8;4;s;;;;
8;5;s;;;;
8;6;s;;;;
8;7;s;;;;
8;8;s;;;;
8;9;s;;;;
8;10;s;;;;
8;11;s;;;;
8;12;s;;;;
8;13;s;;;;
8;14;s;;;;
8;15;s;;;;
8;16;s;;;;
8;17;s;;;;
8;18;s;;;;
8;19;s;;;;
8;20;s;;;;
8;21;s;;;;
8;22;s;;;;
8;23;s;;;;
8;24;s;L'apostolo San Bartolomeo era galileo e probabilmente pescatore come la maggior parte degli Apostoli. Scelto da Gesù, Natanaele, il suo nome originario, ebbe anch'egli la felice sorte di nutrire l'anima sua delle parole di vita che uscivano dal labbro benedetto del Divin Maestro per tutto il tempo della sua predicazione, e di essere testimonio dei suoi miracoli. ;;;
8;25;s;nacque nell'anno 1215 in Puassy, ove ricevette anche il santo battesimo. Ebbe per genitori Luigi ottavo e la regina Bianca di Castiglia, donna di grande pietà e virtù. Quando fu maggiorenne, venne consacrato e coronato re di Francia come Luigi nono. riguardò poi sempre la sua consacrazione non come una semplice cerimonia, ma come un impegno ed un obbligo che egli assumeva davanti a Dio ed agli uomini di far regnare Gesù Cristo in tutti i suoi stati. ;;;
8;26;s;;;;
8;27;s;;;;
8;28;s;;;;
8;29;s;;;;
8;30;s;;;;
8;31;s;;;;
9;1;s;;;;
9;2;s;;;;
9;3;s;;;;
9;4;s;;;;
9;5;s;;;;
9;6;s;;;;
9;7;s;;;;
9;8;s;;;;
9;9;s;;;;
9;10;s;;;;
9;11;s;;;;
9;12;s;;;;
9;13;s;;;;
9;14;s;;;;
9;15;s;;;;
9;16;s;;;;
9;17;s;;;;
9;18;s;;;;
9;19;s;;;;
9;20;s;;;;
9;21;s;;;;
9;22;s;;;;
9;23;s;;;;
9;24;s;;;;
9;25;s;;;;
9;26;s;;;;
9;27;s;;;;
9;28;s;;;;
9;29;s;;;;
9;30;s;;;;
10;1;s;;;;
10;2;s;;;;
10;3;s;;;;
10;4;s;;;;
10;5;s;;;;
10;6;s;;;;
10;7;s;;;;
10;8;s;;;;
10;9;s;;;;
10;10;s;;;;
10;11;s;;;;
10;12;s;;;;
10;13;s;;;;
10;14;s;;;;
10;15;s;;;;
10;16;s;;;;
10;17;s;;;;
10;18;s;;;;
10;19;s;;;;
10;20;s;;;;
10;21;s;;;;
10;22;s;;;;
10;23;s;;;;
10;24;s;;;;
10;25;s;;;;
10;26;s;;;;
10;27;s;;;;
10;28;s;;;;
10;29;s;;;;
10;30;s;;;;
10;31;s;;;;
11;1;s;;;;
11;2;s;;;;
11;3;s;;;;
11;4;s;;;;
11;5;s;;;;
11;6;s;;;;
11;7;s;;;;
11;8;s;;;;
11;9;s;;;;
11;10;s;;;;
11;11;s;;;;
11;12;s;;;;
11;13;s;;;;
11;14;s;;;;
11;15;s;;;;
11;16;s;;;;
11;17;s;;;;
11;18;s;;;;
11;19;s;;;;
11;20;s;;;;
11;21;s;;;;
11;22;s;;;;
11;23;s;;;;
11;24;s;;;;
11;25;s;;;;
11;26;s;;;;
11;27;s;;;;
11;28;s;;;;
11;29;s;;;;
11;30;s;;;;
12;1;s;;;;
12;2;s;;;;
12;3;s;;;The patron of Catholic missions who introduced Christianity in Japan;
12;4;s;;;;
12;5;s;;;;
12;6;s;;;;
12;7;s;;;;
12;8;s;;;;
12;9;s;;;;
12;10;s;;;;
12;11;s;;;;
12;12;s;;;;
12;13;s;;;;
12;14;s;;;;
12;15;s;;;;
12;16;s;;;;
12;17;s;;;;
12;18;s;;;;
12;19;s;;;;
12;20;s;;;;
12;21;s;;;;
12;22;s;;;;
12;23;s;;;;
12;24;s;;;;
12;25;s;;;;
12;26;s;;;;
12;27;s;;;;
12;28;s;;;;
12;29;s;;;;
12;30;s;;;;
12;31;s;;;;
